Date	Temperature	Humidity
(2021, 10, 27, 2, 17, 31, 1, 0)	22.3	45.0%
(2021, 10, 27, 2, 17, 31, 6, 0)	22.3	45.0%
(2021, 10, 27, 2, 17, 31, 11, 0)	22.4	46.0%
(2021, 10, 27, 2, 17, 31, 16, 0)	22.4	45.0%
(2021, 10, 27, 2, 17, 31, 21, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 31, 26, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 31, 31, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 31, 36, 0)	22.4	46.0%
(2021, 10, 27, 2, 17, 31, 42, 0)	22.4	45.0%
(2021, 10, 27, 2, 17, 31, 47, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 31, 52, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 31, 57, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 2, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 7, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 12, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 17, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 22, 0)	22.3	46.0%
(2021, 10, 27, 2, 17, 32, 27, 0)	22.3	46.0%
(2021, 10, 27, 2, 17, 32, 32, 0)	22.3	45.0%
(2021, 10, 27, 2, 17, 32, 37, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 42, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 32, 48, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 32, 53, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 32, 58, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 3, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 8, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 13, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 33, 18, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 23, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 28, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 33, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 33, 38, 0)	22.4	44.0%
