 

stn;time;gre000z0
BAN;202209020000;1
BAN;202209020010;1
BAN;202209020020;0
BAN;202209020030;1
BAN;202209020040;1
BAN;202209020050;1
BAN;202209020100;1
BAN;202209020110;1
BAN;202209020120;1
BAN;202209020130;1
BAN;202209020140;1
BAN;202209020150;1
BAN;202209020200;1
BAN;202209020210;0
BAN;202209020220;1
BAN;202209020230;1
BAN;202209020240;1
BAN;202209020250;1
BAN;202209020300;1
BAN;202209020310;1
BAN;202209020320;1
BAN;202209020330;1
BAN;202209020340;0
BAN;202209020350;0
BAN;202209020400;1
BAN;202209020410;0
BAN;202209020420;0
BAN;202209020430;0
BAN;202209020440;1
BAN;202209020450;3
BAN;202209020500;7
BAN;202209020510;17
BAN;202209020520;32
BAN;202209020530;48
BAN;202209020540;80
BAN;202209020550;107
BAN;202209020600;135
BAN;202209020610;164
BAN;202209020620;183
BAN;202209020630;147
BAN;202209020640;244
BAN;202209020650;279
BAN;202209020700;315
BAN;202209020710;265
BAN;202209020720;356
BAN;202209020730;443
BAN;202209020740;200
BAN;202209020750;189
BAN;202209020800;421
BAN;202209020810;525
BAN;202209020820;231
BAN;202209020830;231
BAN;202209020840;173
BAN;202209020850;166
BAN;202209020900;233
BAN;202209020910;573
BAN;202209020920;530
BAN;202209020930;680
BAN;202209020940;706
BAN;202209020950;727
BAN;202209021000;751
BAN;202209021010;766
BAN;202209021020;779
BAN;202209021030;777
BAN;202209021040;795
BAN;202209021050;804
BAN;202209021100;757
BAN;202209021110;796
BAN;202209021120;791
BAN;202209021130;800
BAN;202209021140;740
BAN;202209021150;806
BAN;202209021200;718
BAN;202209021210;743
BAN;202209021220;622
BAN;202209021230;592
BAN;202209021240;637
BAN;202209021250;456
BAN;202209021300;315
BAN;202209021310;209
BAN;202209021320;171
BAN;202209021330;176
BAN;202209021340;130
BAN;202209021350;107
BAN;202209021400;106
BAN;202209021410;87
BAN;202209021420;77
BAN;202209021430;79
BAN;202209021440;102
BAN;202209021450;86
BAN;202209021500;69
BAN;202209021510;87
BAN;202209021520;59
BAN;202209021530;70
BAN;202209021540;73
BAN;202209021550;103
BAN;202209021600;70
BAN;202209021610;58
BAN;202209021620;44
BAN;202209021630;53
BAN;202209021640;49
BAN;202209021650;52
BAN;202209021700;47
BAN;202209021710;48
BAN;202209021720;74
BAN;202209021730;97
