 

stn;time;tre200s0;rre150z0
NABBER;202209010000;15.3;0.0
NABBER;202209010010;15.3;0.0
NABBER;202209010020;15.3;0.0
NABBER;202209010030;15.3;0.0
NABBER;202209010040;15.3;0.0
NABBER;202209010050;15.6;0.0
NABBER;202209010100;15.4;0.0
NABBER;202209010110;15.1;0.0
NABBER;202209010120;14.7;0.0
NABBER;202209010130;14.5;0.0
NABBER;202209010140;14.6;0.0
NABBER;202209010150;14.7;0.0
NABBER;202209010200;14.6;0.0
NABBER;202209010210;14.7;0.0
NABBER;202209010220;14.9;0.0
NABBER;202209010230;14.9;0.0
NABBER;202209010240;14.7;0.0
NABBER;202209010250;14.5;0.0
NABBER;202209010300;14.4;0.0
NABBER;202209010310;14.4;0.0
NABBER;202209010320;14.0;0.0
NABBER;202209010330;13.9;0.0
NABBER;202209010340;13.8;0.0
NABBER;202209010350;13.7;0.0
NABBER;202209010400;13.7;0.0
NABBER;202209010410;13.9;0.0
NABBER;202209010420;14.1;0.0
NABBER;202209010430;14.3;0.0
NABBER;202209010440;13.8;0.0
NABBER;202209010450;13.6;0.0
NABBER;202209010500;13.5;0.0
NABBER;202209010510;13.4;0.0
NABBER;202209010520;13.4;0.0
NABBER;202209010530;13.4;0.0
NABBER;202209010540;13.5;0.0
NABBER;202209010550;13.6;0.0
NABBER;202209010600;13.8;0.0
NABBER;202209010610;14.1;0.0
NABBER;202209010620;14.4;0.0
NABBER;202209010630;14.6;0.0
NABBER;202209010640;14.5;0.0
NABBER;202209010650;14.2;0.0
NABBER;202209010700;14.4;0.0
NABBER;202209010710;14.5;0.0
NABBER;202209010720;14.5;0.0
NABBER;202209010730;14.6;0.0
NABBER;202209010740;14.9;0.0
NABBER;202209010750;15.1;0.0
NABBER;202209010800;15.5;0.0
NABBER;202209010810;15.8;0.0
NABBER;202209010820;16.4;0.0
NABBER;202209010830;16.3;0.0
NABBER;202209010840;16.6;0.0
NABBER;202209010850;16.4;0.0
NABBER;202209010900;16.8;0.0
NABBER;202209010910;16.8;0.0
NABBER;202209010920;16.8;0.0
NABBER;202209010930;17.5;0.0
NABBER;202209010940;18.0;0.0
NABBER;202209010950;18.2;0.0
NABBER;202209011000;18.1;0.0
NABBER;202209011010;18.5;0.0
NABBER;202209011020;18.5;0.0
NABBER;202209011030;18.8;0.0
NABBER;202209011040;18.7;0.0
NABBER;202209011050;19.0;0.0
NABBER;202209011100;19.2;0.0
NABBER;202209011110;19.2;0.0
NABBER;202209011120;19.2;0.0
NABBER;202209011130;19.3;0.0
NABBER;202209011140;19.5;0.0
NABBER;202209011150;20.1;0.0
NABBER;202209011200;20.4;0.0
NABBER;202209011210;20.6;0.0
NABBER;202209011220;20.8;0.0
NABBER;202209011230;21.1;0.0
NABBER;202209011240;20.6;0.0
NABBER;202209011250;20.6;0.0
NABBER;202209011300;20.9;0.0
NABBER;202209011310;20.8;0.0
NABBER;202209011320;21.1;0.0
NABBER;202209011330;21.5;0.0
NABBER;202209011340;21.8;0.0
NABBER;202209011350;21.9;0.0
NABBER;202209011400;21.6;0.0
